"record_id","species","order_raw","order_cn","province_cn","province_en_raw","year","discover_cause_raw","discovery_method_raw","longitude","latitude","order","province","discover_reason"
98,"Branta ruficollis","ANSERIFORMES","雁形目","河南省","Henan",2008,"分布变化","观察和拍摄",112.775833333333,35,"Anseriformes","Henan","Range shift or distribution change"
214,"Rissa tridactyla","CHARADRIIFORMES","鸻形目","甘肃省","Gansu",2008,"分布变化","观察和拍摄",103.79047,29.48523,"Charadriiformes","Gansu","Range shift or distribution change"
176,"Chlidonias leucopterus","CHARADRIIFORMES","鸻形目","云南省","Yunnan",2008,"分布变化","观察拍摄",102.69053,24.810808,"Charadriiformes","Yunnan","Range shift or distribution change"
335,"Halcyon coromanda","CORACIIFORMES","佛法僧目","山东省","Shandong",2008,"分布变化","观察",119.547665645881,35.4666666666667,"Coraciiformes","Shandong","Range shift or distribution change"
574,"Garrulax maesi","PASSERIFORMES","雀形目","广东省","Guangdong",2008,"分布变化","记录鸣唱，标本采集",113.2292844,24.3732841,"Passeriformes","Guangdong","Range shift or distribution change"
773,"Phylloscopus intermedius","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2008,"分布变化","标本采集",106.41769,23.13402,"Passeriformes","Guangxi","Range shift or distribution change"
900,"Stachyris nonggangensis","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2008,"新发现、描述并命名","？？",117.19937,39.085099,"Passeriformes","Guangxi","New species or formal description"
645,"Ficedula parva","PASSERIFORMES","雀形目","河北省","Hebei",2008,"分布变化","观察拍摄",118.91252,39.42564,"Passeriformes","Hebei","Range shift or distribution change"
883,"Sturnus vulgaris","PASSERIFORMES","雀形目","黑龙江省","Heilongjiang",2008,"分布变化","观察拍摄",124.216666666667,47.2,"Passeriformes","Heilongjiang","Range shift or distribution change"
709,"Paradoxornis heudei","PASSERIFORMES","雀形目","河南省","Henan",2008,"分布变化","观察拍摄",112.635555555556,34.8516666666667,"Passeriformes","Henan","Range shift or distribution change"
648,"Ficedula parva","PASSERIFORMES","雀形目","香港特别行政区","Hong Kong",2008,"分布变化","观察拍摄",114.255833333333,22.165,"Passeriformes","Hong Kong","Range shift or distribution change"
812,"Prunella immaculata","PASSERIFORMES","雀形目","陕西省","Shaanxi",2008,"分布变化","观察拍摄",107.98,33.53,"Passeriformes","Shaanxi","Range shift or distribution change"
639,"Ficedula hypoleuca","PASSERIFORMES","雀形目","新疆维吾尔自治区","Xinjiang",2008,"分布变化","观察拍摄",81.4824722222222,36.1876666666667,"Passeriformes","Xinjiang","Range shift or distribution change"
814,"Prunella montanella","PASSERIFORMES","雀形目","新疆维吾尔自治区","Xinjiang",2008,"分布变化","在村民布设的迷网上捕获",87.5418333333333,44.1755277777778,"Passeriformes","Xinjiang","Range shift or distribution change"
979,"Oroanassa magnifica","PELECANIFORMES","鹈形目","贵州省","Guizhou",2008,"分布变化","救助，群众抓到；发现奄奄一息的个体；野外观察",108.275,26.4333333333333,"Pelecaniformes","Guizhou","Range shift or distribution change"
1021,"Psilopogon faiostrictus","PICIFORMES","啄木鸟目","广西壮族自治区","Guangxi",2008,"分布变化","查阅标本",106.85455,22.34262,"Piciformes","Guangxi","Range shift or distribution change"
